,0
834,82
835,82
836,82
837,82
838,82
839,82
840,82
841,82
842,82
843,82
844,82
845,82
846,82
847,82
848,82
849,82
850,82
851,82
852,82
853,82
854,82
855,82
856,82
857,82
858,82
859,82
860,82
861,82
862,82
863,82
864,82
865,82
866,82
867,82
868,82
869,82
870,82
871,82
872,82
873,82
874,82
875,82
876,82
877,82
878,82
879,82
880,82
881,82
882,82
883,82
884,82
885,82
886,82
887,82
888,82
889,82
890,82
891,82
892,82
893,82
894,82
895,82
896,82
897,82
898,82
899,82
900,82
901,82
902,82
903,82
904,82
905,82
906,82
907,82
908,82
909,82
910,82
911,82
912,82
913,82
914,82
915,82
916,82
917,82
918,82
919,82
920,82
921,82
922,82
923,82
924,82
925,82
926,82
927,82
928,82
929,82
930,82
931,82
932,82
933,82
934,82
935,82
936,82
937,82
938,82
939,82
940,82
941,82
942,82
943,82
944,82
945,82
946,82
947,82
948,82
949,82
950,82
951,81
952,81
953,81
954,81
955,81
956,81
957,81
958,81
959,81
960,81
961,81
962,81
963,81
964,81
965,81
966,81
967,81
968,81
969,81
970,81
971,81
972,81
973,81
974,81
975,81
976,81
977,81
978,81
979,81
980,81
981,81
982,81
983,81
984,81
985,81
986,81
987,81
988,81
989,81
990,81
991,81
992,81
993,81
994,81
995,81
996,81
997,81
998,81
999,81
